Hero
1,22,0,8,6,6,5,0,0
2,3,0,1,1,0,1,0,17
3,3,5,2,1,1,1,0,44
4,2,4,1,1,0,1,8,93
5,4,5,1,1,1,2,2,180
6,3,5,2,1,0,2,3,310
7,5,4,2,2,1,2,2,505
8,3,3,2,1,0,2,3,797
9,7,3,3,2,1,2,2,1235
10,7,3,3,2,1,3,3,1892
11,12,2,2,3,1,3,2,2795
12,9,2,3,3,1,2,3,4036
13,10,2,3,4,2,2,3,5742
14,8,4,3,3,1,2,4,8087
15,11,2,3,4,2,2,5,11311
16,11,4,3,3,1,3,6,14938
17,9,4,3,3,1,3,5,19018
18,11,4,3,4,2,3,4,23608
19,13,4,3,3,1,2,5,28771
20,13,3,3,4,2,2,4,34579
21,13,3,3,2,1,4,5,41113
22,15,2,5,3,2,4,5,48463
23,16,4,4,3,1,4,6,56731
24,14,3,5,3,2,5,5,66032
25,13,6,3,2,1,6,5,76495
26,14,6,5,2,2,6,5,88265
27,13,4,4,2,1,6,5,101506
28,14,5,5,2,2,7,6,116402
29,12,6,4,2,1,7,6,133160
30,17,8,4,2,2,8,5,152012
31,13,10,3,3,1,8,5,173220
32,12,10,3,3,2,8,6,197079
33,10,11,3,3,2,7,7,223920
34,8,9,3,3,1,7,7,254116
35,8,9,3,3,2,7,8,288086
36,9,8,3,2,2,6,8,326302
37,10,8,2,2,1,6,7,369295
38,11,9,2,2,2,6,8,417662
39,9,7,3,2,2,6,8,472074
40,11,6,2,2,1,5,8,533287
41,8,6,3,2,2,5,7,602151
42,7,6,3,2,2,5,7,679623
43,7,6,3,2,1,5,6,766779
44,6,6,4,2,2,5,6,864829
45,6,6,3,2,2,4,7,975135
46,6,6,5,2,1,4,4,1085441
47,5,6,5,3,2,4,3,1195747
48,5,6,6,3,1,4,2,1306053
49,5,6,4,2,1,4,3,1416359
50,5,4,6,3,1,4,2,1526665
51,4,4,5,3,1,4,3,1636971
52,4,3,5,2,1,3,2,1747277
53,4,2,5,3,2,3,2,1857583
54,3,3,5,3,2,3,2,1967889
55,3,3,5,2,3,3,3,2078195
56,3,2,5,3,3,2,2,2188501
57,2,3,4,3,3,2,2,2298807
58,2,2,5,2,3,2,3,2409113
59,2,3,5,3,3,2,2,2519419
60,2,4,5,3,4,2,2,2629725
61,3,4,4,1,4,2,2,2740031
62,5,4,5,1,6,3,2,2850337
63,7,4,5,1,6,3,2,2960643
64,9,5,5,2,6,3,1,3070949
65,8,5,4,1,5,4,2,3181255
66,8,5,5,1,5,4,2,3291561
67,9,5,5,1,4,4,2,3401867
68,16,5,5,2,4,5,2,3512173
69,15,4,4,1,4,5,1,3622479
70,16,5,5,1,2,5,3,3732785
71,17,5,5,2,2,5,3,3843091
72,17,6,5,1,2,5,3,3953397
73,18,6,5,1,2,5,2,4063703
74,13,6,4,1,1,4,3,4174009
75,5,6,5,2,1,4,3,4284315
76,7,5,5,1,1,4,3,4394621
77,6,5,5,1,0,4,2,4504927
78,5,5,4,2,0,4,3,4615233
79,4,5,5,1,0,4,3,4725539
80,5,6,5,1,1,4,3,4835845
81,4,6,5,1,1,3,2,4946151
82,4,7,4,2,1,3,3,5056457
83,3,7,5,1,1,3,3,5166763
84,3,7,5,1,2,2,3,5277069
85,3,7,5,2,2,3,2,5387375
86,3,6,5,1,3,3,3,5497681
87,3,6,4,1,3,2,3,5607987
88,4,5,5,1,4,2,2,5718293
89,7,5,5,2,4,2,2,5828599
90,8,4,5,1,4,1,3,5938905
91,9,4,4,1,4,1,2,6049211
92,8,3,5,2,4,1,2,6159517
93,8,3,5,1,4,1,2,6269823
94,8,3,5,1,4,2,2,6380129
95,8,3,4,1,4,2,2,6490435
96,8,3,5,2,4,3,2,6600741
97,8,4,5,1,4,4,2,6711047
98,8,4,5,1,5,4,2,6821353
99,9,6,5,2,5,5,2,6931659

Yangus
1,30,0,11,5,7,2,0,0
2,2,0,1,0,1,0,0,15
3,3,0,1,1,0,1,0,40
4,3,0,2,1,1,0,4,88
5,4,3,2,1,0,1,3,171
6,6,1,3,1,1,0,3,299
7,2,1,4,1,0,1,4,476
8,4,1,4,1,1,0,5,751
9,4,2,3,2,1,1,5,1196
10,8,2,4,2,0,0,6,1802
11,9,2,3,2,1,1,6,2610
12,11,2,3,2,1,1,7,3640
13,11,2,3,2,2,1,8,5280
14,11,2,3,2,2,1,9,6873
15,12,1,4,2,3,1,8,9769
16,11,1,3,2,2,2,6,13208
17,13,0,4,2,2,2,4,17291
18,11,0,3,2,3,2,3,22139
19,14,1,4,2,2,2,3,27896
20,13,2,4,2,3,2,3,34732
21,12,3,6,3,1,2,3,42422
22,12,4,5,3,2,2,2,51073
23,13,5,6,3,1,3,2,60805
24,12,4,4,3,2,3,3,71753
25,13,3,6,3,1,3,4,84069
26,14,2,5,3,2,3,5,97924
27,12,1,6,3,1,3,5,113510
28,11,1,5,2,2,3,6,131044
29,12,1,6,2,1,3,6,150769
30,13,1,5,2,2,3,7,172959
31,16,1,3,2,1,3,7,197229
32,22,1,3,2,2,4,8,223774
33,20,2,4,2,2,4,8,252807
34,18,2,3,2,2,5,8,284561
35,12,3,4,2,2,5,8,319291
36,13,3,3,2,1,5,7,357276
37,12,4,4,2,2,6,7,398822
38,10,5,2,2,2,5,6,444262
39,4,6,4,2,2,5,6,493962
40,4,6,2,2,2,6,7,548321
41,3,7,5,2,1,6,7,607776
42,3,7,3,1,2,5,6,672804
43,3,6,4,1,2,4,5,743928
44,2,5,3,1,2,4,4,821719
45,2,4,5,1,2,3,3,924195
46,2,4,4,1,2,2,2,1026671
47,2,3,5,1,2,2,2,1129147
48,6,3,6,1,2,2,3,1231623
49,7,3,5,1,2,1,4,1334099
50,7,3,4,1,2,1,4,1436575
51,8,2,7,2,2,1,3,1539051
52,8,2,4,2,2,1,2,1641527
53,8,2,5,2,2,1,2,1744003
54,9,1,5,1,2,2,2,1846479
55,6,1,5,1,2,2,2,1948955
56,5,1,5,1,2,2,1,2051431
57,3,0,6,1,2,2,1,2153907
58,3,0,4,1,2,2,1,2256383
59,3,1,5,1,2,3,1,2358859
60,2,1,5,1,2,3,2,2461335
61,2,2,6,1,3,3,2,2563811
62,2,2,4,1,3,3,2,2666287
63,2,3,3,1,3,3,1,2768763
64,2,3,2,1,3,3,1,2871239
65,2,3,3,1,4,4,1,2973715
66,1,3,3,1,3,5,2,3076191
67,1,2,4,1,3,4,2,3178667
68,2,2,4,1,3,4,2,3281143
69,4,2,5,1,3,3,3,3383619
70,8,2,4,1,3,3,5,3486095
71,10,2,5,1,3,3,6,3588571
72,12,3,5,1,3,2,5,3691047
73,12,3,6,1,3,2,4,3793523
74,12,5,5,1,3,2,3,3895999
75,14,6,7,1,3,1,3,3998475
76,16,6,6,1,3,1,3,4100951
77,17,5,7,1,2,1,2,4203427
78,15,5,6,1,3,1,2,4305903
79,12,4,7,1,3,1,2,4408379
80,11,4,6,1,4,1,2,4510885
81,13,4,7,1,4,1,2,4613331
82,14,5,6,1,3,1,2,4715807
83,9,5,6,1,3,1,2,4818283
84,9,5,5,1,4,1,2,4920759
85,6,6,6,1,2,0,2,5023235
86,6,7,4,1,2,0,2,5125711
87,6,7,5,1,2,0,2,5228187
88,5,7,4,1,2,1,2,5330663
89,5,6,5,1,2,1,2,5433139
90,3,6,3,1,2,1,2,5535615
91,3,6,4,1,2,1,2,5638091
92,3,5,3,1,2,1,2,5740567
93,3,5,4,1,1,1,2,5843043
94,2,5,2,1,1,1,2,5945519
95,2,6,3,1,1,1,2,6047995
96,2,6,2,1,1,1,2,6150741
97,2,7,3,1,1,1,2,6252947
98,1,8,2,1,2,0,2,6355423
99,1,10,3,1,2,0,2,6457899

Jessica
1,18,4,4,10,3,8,0,0
2,2,1,0,2,0,1,0,20
3,2,1,1,2,1,1,0,55
4,2,1,1,2,1,1,0,117
5,3,2,1,2,1,1,0,227
6,2,2,1,2,0,3,0,385
7,2,2,1,2,1,3,0,612
8,2,3,1,2,1,3,0,938
9,8,6,1,2,1,4,0,1406
10,6,6,2,4,1,3,9,2078
11,5,5,3,5,1,3,9,3044
12,6,6,3,4,1,3,8,4432
13,6,8,3,5,1,3,7,6427
14,3,8,4,6,1,3,6,9294
15,5,7,4,4,1,4,6,13415
16,7,8,2,4,0,4,5,18179
17,5,7,2,5,1,5,5,23687
18,6,7,2,5,1,5,4,30055
19,8,9,2,6,1,6,4,37418
20,9,6,1,6,1,6,4,45931
21,5,6,1,3,1,7,3,55242
22,5,6,1,2,1,7,4,65425
23,5,6,2,2,1,7,5,76562
24,6,7,2,2,2,8,5,88743
25,7,11,3,2,2,8,6,102065
26,8,13,3,1,2,8,7,116635
27,10,20,2,2,2,8,8,132570
28,12,15,2,2,2,9,8,149998
29,11,15,2,2,2,9,7,169059
30,11,10,3,2,2,9,7,189906
31,11,9,2,3,1,9,6,213358
32,12,8,3,3,2,10,6,239741
33,14,6,3,3,1,10,7,269421
34,12,6,2,3,1,9,7,302811
35,12,6,3,4,1,9,8,340374
36,12,6,3,4,1,9,8,382632
37,15,6,2,4,1,9,9,430172
38,17,6,3,4,1,9,10,483654
39,16,6,3,4,2,8,10,543821
40,14,6,2,4,1,8,9,611508
41,12,6,3,3,1,8,8,687655
42,10,5,3,3,2,7,6,773320
43,8,4,2,2,2,7,6,869693
44,6,3,3,2,2,7,4,978112
45,5,2,3,2,3,6,3,1100083
46,5,2,3,2,3,6,2,1222054
47,4,1,3,2,4,6,2,1344025
48,4,2,4,2,4,5,2,1465996
49,3,3,3,1,4,5,2,1587967
50,3,5,3,1,4,5,2,1709938
51,3,7,4,1,4,5,1,1831909
52,3,9,3,1,4,4,1,1953880
53,3,11,3,1,4,4,1,2075851
54,2,12,4,1,3,4,1,2197822
55,2,13,3,2,4,4,2,2319793
56,2,14,3,2,4,4,2,2441764
57,2,15,4,2,4,3,2,2563735
